year,country,rpp_value,cgdp_value,cr_value,spr_value,rpp_value_trend,rpp_value_cycle,rpp_value_cycle_normalized,cgdp_value_trend,cgdp_value_cycle,cgdp_value_cycle_normalized,cr_value_trend,cr_value_cycle,cr_value_cycle_normalized,spr_value_trend,spr_value_cycle,spr_value_cycle_normalized,pca_weighted_mean,turning_point,value
1970,Australia,32.4367,62.4,9.7638247,66.374039,17.341553277484874,15.095146722515128,1.0,56.48610782852985,5.913892171470145,1.0,-10.215356029274693,19.979180729274695,1.0,34.12420522262936,32.24983377737064,1.0,0.9999999999999999,,0.0
1971,Australia,34.1111,61.8,10.055262,61.761449,19.203305716342133,14.907794283657868,0.9875885645697093,59.299732990332515,2.500267009667482,0.4227785927057131,-7.646933741749541,17.70219574174954,0.88603211421033,35.58898992013815,26.172459079861852,0.811553301655365,0.8966007366367308,,0.0
1972,Australia,36.7062,62.7,10.501544,73.306428,21.065095893066196,15.641104106933806,1.036167742815269,62.1133729368656,0.5866270631344008,0.0991947512949953,-5.078461506272564,15.580005506272565,0.7798120312032518,37.053855242231386,36.25257275776861,1.1241165770971089,0.8850480823601232,,0.0
1973,Australia,41.0876,67.2,12.216656,52.346214,22.926998815009576,18.160601184990426,1.203075499617571,64.92704870352705,2.2729512964729537,0.38434101105835966,-2.5098451194025846,14.726501119402585,0.7370923422212419,38.518947244641204,13.8272667553588,0.4287546674135494,1.0564073258733995,,0.0
1974,Australia,40.163,72.4,13.60751,30.332724,24.78912859228506,15.373871407714937,1.018464523089668,67.74078279228249,4.659217207717518,0.7878427730208808,0.05904857231534244,13.548461427684657,0.6781289789241777,39.984502614531635,-9.651778614531636,-0.29928149959347033,0.9618082863611094,,0.0
1975,Australia,39.5241,71.7,13.65059,37.176821,26.651644736508395,12.872455263491602,0.8527545641071328,70.55460338747577,1.1453966125242374,0.19367898150897486,2.628389538588959,11.02220046141104,0.5516843063169578,41.450792607233616,-4.273971607233619,-0.13252693445609692,0.7345266364551091,,0.0
1976,Australia,37.9084,71.0,14.065511,31.557755,28.514745193973845,9.393654806026156,0.6222963564849008,73.36855032149376,-2.368550321493757,-0.4005061730614805,5.198381620279574,8.867129379720428,0.4438184678277512,42.91806434863153,-11.360309348631532,-0.3522594698333899,0.45283151379840264,,0.0
1977,Australia,37.1898,69.8,13.709099,29.756697,30.37866009211383,6.811139907886169,0.45121389232520875,76.18266629021485,-6.382666290214857,-1.0792665989086132,7.769256213749651,5.939842786250349,0.29730161945764544,44.38655427968076,-14.62985727968076,-0.4536413235700574,0.20562662528183814,,0.0
1978,Australia,35.9354,72.9,14.666297,33.15045,32.24364304249779,3.691756957502214,0.24456582141038638,78.99698806814168,-6.09698806814167,-1.030960303529851,10.341266883185105,4.3250301168148955,0.216476850348403,45.85647044056329,-12.706020440563293,-0.3939871606246532,0.04417861932827588,,0.0
1979,Australia,37.9887,74.5,15.64767,46.835696,34.109964684544934,3.8787353154550672,0.2569524753058378,81.8115364731111,-7.311536473111104,-1.23633239516667,12.914682042378814,2.7329879576211855,0.13679179314978854,47.327984296817945,-0.4922882968179465,-0.015264832067549442,0.022907478258590956,,0.0
