year,country,ka_open,cblackmarketexchangerates,acreditmarketregulation,BankAssets_CBShare,FD,Portfolioequityassets,Currentaccountbalance,Capitalaccount,cbie_index,GDPconstant2015US
1980,Argentina,0.4172374,9.8,4.4461128,88.77,0.2283505,50.0,-4774.0,0.0,0.5175,287800000000.0
1981,Argentina,0.4172374,8.24,4.3973974,85.5,0.2301016,52.0,-4712.0,0.0,0.5175,272900000000.0
1982,Argentina,0.1629476,6.68,4.348682,86.43,0.2670347,59.0,-2353.0,0.0,0.5175,270900000000.0
1983,Argentina,0.1629476,5.12,4.2999666,68.78,0.2174504,75.0,-2436.0,0.0,0.5175,282700000000.0
1984,Argentina,0.1629476,3.56,4.2512513,74.45,0.2301073,78.0,-2495.0,0.0,0.5175,287100000000.0
1985,Argentina,0.1629476,2.0,4.2025359,61.56,0.2036687,138.0,-952.0,0.0,0.5175,272200000000.0
1986,Argentina,0.1629476,3.6,4.1011011,62.88,0.175532,338.0,-2859.0,0.0,0.5175,289000000000.0
1987,Argentina,0.1629476,5.2,3.9996663,57.2,0.1856936,549.0,-4235.0,0.0,0.5175,296800000000.0
1988,Argentina,0.1629476,6.8,3.8982316,62.57,0.3190311,864.0,-1572.0,0.0,0.5175,293600000000.0
1989,Argentina,0.1629476,8.4,3.7967968,82.42,0.197142,1200.0,-1305.0,0.0,0.5175,272500000000.0
1990,Argentina,0.1629476,10.0,3.695362,76.01,0.2045336,1071.0,4552.0,0.0,0.5175,265800000000.0
1991,Argentina,0.1629476,10.0,4.4634635,74.85,0.2177781,1281.0,-647.0,0.0,0.5175,290100000000.0
1992,Argentina,0.1629476,10.0,5.2315649,82.74,0.3436685,1487.8928,-5547.7546,15.7,0.802,313100000000.0
1993,Argentina,0.7606722,10.0,5.9996663,82.6,0.3716161,3274.7238,-8205.8899,16.1,0.802,338800000000.0
1994,Argentina,0.8205042,10.0,6.7677678,88.2,0.394638,4122.0888,-10979.453,17.5,0.802,358600000000.0
1995,Argentina,0.8803361,10.0,7.5358692,88.64,0.3749633,5253.2973,-5117.9573,14.2,0.802,348400000000.0
1996,Argentina,0.6858783,10.0,7.4918307,89.8,0.3779625,6450.065,-6769.9782,50.8,0.802,367600000000.0
1997,Argentina,0.9401681,10.0,7.4477922,91.4,0.3844875,8146.6396,-12138.069,66.3,0.802,397500000000.0
1998,Argentina,0.8803361,10.0,7.4037538,92.9,0.3670288,10686.177,-14481.998,72.9,0.802,412800000000.0
1999,Argentina,0.8205042,10.0,7.3597153,93.82,0.2968695,13164.898,-11942.825,149.1,0.802,398800000000.0
2000,Argentina,0.7606722,10.0,7.3156768,92.66,0.2997107,12508.928,-8980.6179,105.9,0.802,395600000000.0
2001,Argentina,0.1629476,10.0,6.8115245,80.35,0.2653349,11231.625,-3780.4232,156.5,0.802,378200000000.0
2002,Argentina,0.1629476,10.0,7.0633697,71.18,0.2882594,8916.133,8766.61,406.11,0.802,337000000000.0
2003,Argentina,0.4172374,10.0,7.5423903,68.3,0.2817158,11775.877,8139.93,70.05,0.7375,366800000000.0
2004,Argentina,0.4172374,10.0,7.9342234,69.5,0.291074,13420.961,3211.79,196.3,0.7375,399900000000.0
2005,Argentina,0.4172374,10.0,8.2675567,74.4,0.3181338,14610.046,5273.75,88.9,0.7375,435300000000.0
2006,Argentina,0.2542898,10.0,7.9342234,75.68,0.3350458,17707.0,6498.8025,97.624328,0.7375,470300000000.0
2007,Argentina,0.2542898,10.0,7.9342234,77.11,0.3337092,20306.0,6048.5379,121.14589,0.7375,512700000000.0
2008,Argentina,0.2542898,10.0,7.6008901,76.13,0.3448454,12301.026,5421.2063,185.06002,0.7375,533500000000.0
2009,Argentina,0.2542898,10.0,6.9589966,73.03,0.3086981,16108.0,7254.1157,79.984228,0.7375,501900000000.0
2010,Argentina,0.2542898,10.0,5.2412746,71.66,0.266112,19153.939,-1622.9959,78.477885,0.7375,552700000000.0
2011,Argentina,0.2542898,8.9866916,6.1654988,68.79,0.273852,19247.964,-5340.1812,62.723846,0.7375,585900000000.0
2012,Argentina,0.0,1.1967546,7.124,63.56,0.2762241,20419.702,-2138.0404,47.884045,0.557,579900000000.0
2013,Argentina,0.0,0.0,6.7940121,59.41,0.3007149,25982.905,-13124.374,33.412874,0.557,593900000000.0
2014,Argentina,0.0,0.0,6.0576667,57.57,0.3017424,28169.682,-9179.0263,56.797105,0.557,578900000000.0
